title,artist,duration,date,popularity,danceability,tempo
I'm Good (Blue),David Guetta,175238,8/26/22,97,0.561,128.04
Ferrari,James Hype,186661,4/1/22,91,0.847,125.004
One Kiss (with Dua Lipa),Calvin Harris,214846,4/6/18,90,0.791,123.994
Where Are You Now,Lost Frequencies,148197,7/30/21,89,0.671,120.966
Afraid To Feel,LF SYSTEM,177524,5/2/22,87,0.578,127.87
Pepas,Farruko,287120,6/24/21,87,0.762,130.001
The Motto,Ti'sto,164818,11/4/21,87,0.754,117.953
Words (feat. Zara Larsson),Alesso,142677,4/22/22,86,0.739,124.026
Wake Me Up,Avicii,247426,1/1/13,86,0.532,124.08
Crazy What Love Can Do,David Guetta,169756,4/8/22,86,0.601,122.872
Something Just Like This,The Chainsmokers,247160,4/7/17,85,0.617,103.019
Do It To It,ACRAZE,157890,8/20/21,85,0.854,124.927
Deep Down (feat. Never Dull),Alok,165752,6/17/22,84,0.687,125.952
Let Me Love You,DJ Snake,205946,8/5/16,84,0.649,99.988
The Nights,Avicii,176658,1/1/14,86,0.527,125.983
Closer,The Chainsmokers,244960,7/29/16,85,0.748,95.01
Where Did You Go? (feat. MNEK),Jax Jones,177689,2/4/22,84,0.763,127.034
Otro Atardecer,Bad Bunny,244444,5/6/22,86,0.777,108.02
Moth To A Flame (with The Weeknd),Swedish House Mafia,234000,4/15/22,83,0.553,120.146
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,160656,9/24/21,83,0.717,110.054
The Business,Ti'sto,164000,9/16/20,83,0.798,120.031
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,169153,1/15/21,83,0.824,122.98
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,248413,4/19/13,83,0.794,116.047
Sorry,Justin Bieber,200786,11/13/15,81,0.654,99.945
Love Tonight - David Guetta Remix Edit,Shouse,158095,6/11/21,81,0.621,126.002
Kings & Queens,Ava Max,162398,9/18/20,81,0.637,129.857
This Is What You Came For,Calvin Harris,222160,4/29/16,81,0.631,123.962
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,162603,8/13/21,81,0.787,123.97
When I'm Gone (with Katy Perry),Alesso,161266,12/29/21,81,0.685,125.034
Ride It,Regard,157605,7/26/19,81,0.88,117.948
Waiting For Love,Avicii,230613,10/2/15,80,0.579,127.999
Rasputin,Majestic,186209,2/26/21,80,0.758,128.04
The Middle,Zedd,184732,1/23/18,80,0.753,107.01
Don't Let Me Down,The Chainsmokers,208373,2/5/16,80,0.532,159.803
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,183725,5/20/21,80,0.595,124.111
Don't You Worry Child - Radio Edit,Swedish House Mafia,212862,9/14/12,80,0.612,129.042
Head & Heart (feat. MNEK),Joel Corry,166028,7/3/20,80,0.734,122.953
In My Mind,Dynoro,184560,6/8/18,79,0.694,125.905
Your Love (9PM),ATB,150052,1/15/21,79,0.669,125.993
Levels - Radio Edit,Avicii,199906,10/28/11,79,0.584,126.04
Outside (feat. Ellie Goulding),Calvin Harris,227266,10/31/14,79,0.646,128.035
My Head & My Heart,Ava Max,174760,9/18/20,79,0.614,116.001
Paradise (feat. Dermot Kennedy),MEDUZA,167903,10/30/20,79,0.632,124.114
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,217466,11/30/18,78,0.601,114.066
Breaking Me,Topic,166793,12/19/19,78,0.789,122.031
Scared to Be Lonely,Martin Garrix,220883,1/27/17,78,0.584,137.972
Love Tonight - Edit,Shouse,241970,12/14/17,78,0.727,123.028
