title,artist,duration,date,popularity,danceability,tempo
Bad Habit,Steve Lacy,232114,6/29/22,92,0.686,168.955
Home Maker (Edit),Sudan Archives,232967,3/16/22,46,0.827,106.991
new body rhumba (from the film White Noise),LCD Soundsystem,443853,9/30/22,0,0.707,136.822
THE SHADE,Rex Orange County,181506,3/11/22,87,0.898,119.869
Tonight (feat. Ezra Koenig),Phoenix,246706,9/7/22,65,0.671,141.967
Jesus Freak Lighter,Blood Orange,152380,9/8/22,64,0.641,113.401
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,215149,8/31/22,83,0.695,108.014
Hotel,Montell Fish,197333,9/16/22,82,0.228,180.345
Immunity,Alex G,230464,9/23/22,56,0.646,126.016
Evergreen (You Didn�۪t Deserve Me At All),Omar Apollo,216680,4/8/22,83,0.697,82.029
When You Know You Know,The Beths,248666,9/16/22,48,0.514,93.927
End of Beginning,Djo,159245,9/16/22,65,0.689,159.987
Static,Steve Lacy,156506,7/15/22,86,0.335,79.001
There�۪d Better Be A Mirrorball,Arctic Monkeys,265798,8/30/22,79,0.513,72.062
All I Need To Hear,The 1975,210447,9/21/22,72,0.4,136.553
YUKON (INTERLUDE),Joji,141093,8/26/22,78,0.736,82.482
Gary Ashby,Dry Cleaning,130479,9/7/22,51,0.455,159.407
the perfect pair,beabadoobee,177533,7/15/22,77,0.634,146.053
Cracker Island (feat. Thundercat),Gorillaz,213750,6/22/22,77,0.741,120.012
Habits,Genevieve Stokes,136733,8/12/22,74,0.663,82.457
Flight Risk,Tommy Lefroy,59026,11/17/21,74,0.348,47.971
Unfold,Melody's Echo Chamber,90127,8/23/22,55,0.589,107.945
I'm In Love With You,The 1975,262623,9/1/22,79,0.668,119.008
THREAT,Rex Orange County,170793,8/9/22,73,0.674,117.946
It Could Be Nice,Chet Faker,172333,8/30/22,61,0.648,131.418
Stress Relief,late night drive home,205714,9/17/21,72,0.519,139.94
Rid Of Me,Nil�_fer Yanya,217712,9/21/22,42,0.834,123.972
i walk this earth all by myself,EKKSTACY,145634,3/5/21,71,0.595,166.061
Valentine,Laufey,168906,2/14/22,70,0.483,82.711
Weird Goodbyes (feat. Bon Iver),The National,303173,8/22/22,70,0.523,99.641
Happiness,The 1975,303903,8/3/22,73,0.666,118.007
So My Darling - Acoustic,Rachel Chinouriri,228922,1/14/22,67,0.568,137.958
Como me encanta,Kevin Kaarl,321662,8/25/22,67,0.619,124.884
strawberry chainsaw,JAWNY,156008,8/1/22,67,0.615,100.028
For,A.O. Gerber,225806,8/31/22,41,0.479,170.427
caroline,sombr,198000,6/15/22,67,0.518,120.149
Then It All Goes Away,Dayglow,183440,6/21/22,66,0.683,140.019
Endlessly,Omar Apollo,154119,8/12/22,66,0.59,192.123
Part Of The Band,The 1975,260148,7/7/22,69,0.717,142.01
Summer In My Head,Goldpark,230819,9/9/22,43,0.563,97.532
Sunny day,beabadoobee,160493,7/15/22,66,0.751,92.999
Beg For You (feat. Rina Sawayama),Charli XCX,168053,3/18/22,66,0.788,128.036
Hold My Head,Kenny Beats,106866,8/31/22,65,0.627,144.06
Sitting In The Corner (feat. Adriel Favela & Kacey Musgraves),Cuco,232298,7/22/22,65,0.603,106.031
I Think I Left the Stove On,Hotel Ugly,202490,7/14/22,55,0.767,139.999
That's Where I Am,Maggie Rogers,252760,4/8/22,64,0.269,181.299
Spitting Off the Edge of the World,Yeah Yeah Yeahs,257746,6/1/22,63,0.416,109.947
"It's Not Just Me, It's Everybody",Weyes Blood,376520,9/12/22,62,0.426,74.853
Growing/Dying,The Backseat Lovers,212093,8/19/22,62,0.466,89.955
Figure You Out,Djo,184314,8/26/22,62,0.745,117.028
Thinking Bout You,rei brown,190946,5/27/22,62,0.67,163.998
Burning,Yeah Yeah Yeahs,245120,8/10/22,63,0.527,116.008
e-motions (with Erika de Casier),Mura Masa,168723,9/9/22,62,0.797,127.993
Tongo Barra,Vieux Farka Tour̩,333150,8/31/22,61,0.651,112.858
"What, Me Worry?",Portugal. The Man,177397,2/9/22,61,0.722,139.965
Certainty,Big Thief,187388,2/11/22,61,0.611,76.578
Is This What It Feels Like to Feel Like This?,The Wombats,165666,8/16/22,60,0.605,130.045
Come With Me Now,Caamp,159333,6/24/22,60,0.516,124.681
Hard to Let Go,Men I Trust,247615,6/29/22,59,0.806,141.903
Love Letter From The Sea to The Shore,Delaney Bailey,191960,8/5/22,59,0.385,161.633
Buddy's Rendezvous,Lana Del Rey,301480,6/16/22,59,0.289,77.94
Here to Forever,Death Cab for Cutie,226320,9/16/22,59,0.62,157.991
Wild,Spoon,193277,2/11/22,59,0.647,97.003
Diarabi,Vieux Farka Tour̩,301242,9/23/22,59,0.39,79.633
Hot Mess,dodie,174558,9/2/22,59,0.715,115.968
Sweet Tooth,Maya Hawke,221082,8/16/22,59,0.656,82.003
I Love You More Than You Know (feat. Childish Gambino),bLAck pARty,263360,8/5/22,58,0.625,88.04
Future Lover,Thee Sacred Souls,211626,8/26/22,58,0.607,147.57
Where Do We Go From Here?,MisterWives,231670,5/25/22,58,0.696,119.985
Hot & Heavy,Lucy Dacus,250613,6/25/21,58,0.551,135.023
Kerosene,Biig Piig,149840,9/5/22,57,0.681,119.98
Paradise,Briston Maroney,164466,7/12/22,58,0.477,150.072
wish i was dead,EKKSTACY,98800,7/29/22,57,0.362,180.124
Nostalgia,Suki Waterhouse,237316,9/8/22,57,0.518,153.988
adios,JAWNY,203502,9/14/22,57,0.531,164.049
deja vu,Olivia Rodrigo,215506,5/21/21,88,0.442,180.917
Tek It - Sped Up,Cafun̩,166859,2019,83,0.348,168.964
123,Sure Sure,239973,9/9/22,52,0.739,126.946
ceilings,Lizzy McAlpine,182887,4/8/22,72,0.514,148.004
Maybe My Soulmate Died,iamnotshane,114375,6/15/22,77,0.614,96.039
Stargazing,The Neighbourhood,217026,12/11/20,76,0.512,160.009
I AM WOMAN,Emmy Meli,232813,11/19/21,76,0.646,170.084
Boys Who Kiss You In Their Car,Ber,164706,9/22/22,48,0.693,135.9
Synchronize,Milky Chance,164576,3/9/22,74,0.728,124.001
Second Nature,Dayglow,347146,9/23/22,55,0.744,115.035
Bones (God Like You),Housewife,168514,6/27/22,43,0.551,139.994
People Watching,Conan Gray,158536,7/15/21,74,0.53,125.723
LOST CONTROL,Whitney,168432,9/16/22,54,0.757,105.045
MEAN!,Madeline The Person,143960,4/29/22,73,0.502,175.191
are we done yet?,V��RIT��,241346,9/22/22,48,0.534,69.954
j's lullaby (darlin' i'd wait for you),Delaney Bailey,290132,1/7/22,72,0.54,76.068
21,Gracie Abrams,185172,7/14/20,70,0.759,125.056
Close To You,Dayglow,194693,5/21/21,73,0.875,140.031
"If I Don't Laugh, I'll Cry",Frawley,198009,5/6/22,70,0.674,81.045
Cdbaby<3,chloe moriondo,162480,9/16/22,56,0.633,169.972
Hey Lover!,Wabie,162560,6/19/19,70,0.586,117.006
don't miss me,Claire Rosinkranz,123949,11/22/21,68,0.796,104.98
Romeo & Juliet,Peter McPoland,166137,7/3/20,68,0.318,160.737
doomsday,Lizzy McAlpine,268432,4/8/22,67,0.409,133.566
stars,dacelynn,158476,9/15/22,42,0.541,175.639
My Love - Edit,Florence + The Machine,177511,3/10/22,66,0.534,121.841
Mess It Up,Gracie Abrams,171280,5/7/21,67,0.765,132.992
Orpheus,The Beaches,217816,8/24/22,48,0.77,111.002
Pancakes for Dinner,Lizzy McAlpine,235035,8/13/20,67,0.753,142.026
Butterflies,Fiji Blue,176480,5/7/20,66,0.729,110.02
I'm Not In Love,Ber,97293,8/20/21,65,0.895,127.071
Dream Girl Evil,Florence + The Machine,227374,5/13/22,66,0.553,83.026
Sunflower,Michele Leigh,165254,4/21/20,65,0.683,90.059
Threads,Indy,232506,9/15/22,57,0.638,104.969
Another Man's Jeans,Ashe,165067,3/3/22,64,0.722,119.97
"Mona Lisa, Mona Lisa",FINNEAS,172111,7/15/22,64,0.742,125.032
Forever Is A Charm,Princess Chelsea,191812,9/8/22,46,0.789,101.405
Blue Spirits,DWLLRS,188307,5/24/22,64,0.66,130.003
Line Without a Hook (feat. mxmtoon),Ricky Montgomery,251280,2/5/21,64,0.589,95.084
All I Ever Asked,Rachel Chinouriri,215384,3/8/22,64,0.913,114.996
Serotonin,girl in red,182426,3/3/21,64,0.58,148.992
Dover Beach,Baby Queen,218053,9/3/21,64,0.581,99.908
One More Weekend,Maude Latour,142829,7/24/20,63,0.627,131.083
I Gotta I Gotta,flowerovlove,137210,9/14/22,47,0.882,121.007
I Want To Be With You,chloe moriondo,179573,5/7/21,63,0.743,119.984
Friend,Gracie Abrams,176946,7/14/20,63,0.7,132.943
Easy,Troye Sivan,226781,8/21/20,63,0.639,142.967
Seeds,Yoke Lore,251269,5/7/21,63,0.502,171.957
Time Bomb,The Chainsmokers,203061,6/8/22,63,0.842,109.97
KEEP IT UP,Rex Orange County,183000,1/26/22,63,0.708,149.929
Want Me,Baby Queen,258319,11/5/20,63,0.568,169.935
Talk to You,Ricky Montgomery,214724,6/25/21,62,0.514,179.934
So Good,Weston Estate,146273,6/24/22,62,0.795,127.05
hiccup,Valley,164348,12/11/20,62,0.415,160.292
move,brb.,148571,1/22/21,62,0.661,104.934
Dizzy (feat. Thomas Headon and Alfie Templeman),chloe moriondo,158240,11/19/21,60,0.707,129.965
Anything But Me,MUNA,213024,6/24/22,60,0.641,114.677
Loved By U,TOKiMONSTA,207813,4/12/22,60,0.58,116.953
Deep End,Dayglow,218000,8/18/22,60,0.761,105.017
Petrified,Omar Apollo,197453,4/8/22,60,0.343,203.852
frown,mxmtoon,139386,5/20/22,60,0.777,96.001
Cutie,COIN,184315,1/28/22,59,0.682,111.991
24,sundial,133897,10/8/21,59,0.839,135.996
slow down,Forrest.,170488,6/30/22,59,0.63,172.118
Grocery Store,Cavetown,134956,7/15/22,59,0.577,132.336
fun out of it,Johnny Orlando,171706,8/19/22,58,0.617,151.987
What I Want,MUNA,243236,6/24/22,60,0.824,120.028
stuck on us,Claire Rosinkranz,175311,3/11/22,58,0.541,145.013
Fruity,chloe moriondo,193133,8/16/22,57,0.666,128.028
Catch Me In The Air,Rina Sawayama,215814,6/27/22,58,0.518,122.042
Freaks,Surf Curse,147062,5/15/21,86,0.345,179.626
The Less I Know The Better,Tame Impala,216320,7/17/15,85,0.64,116.879
Do You Wanna Talk,Circa Waves,146392,9/22/22,54,0.701,100.066
Insomnia,the moss,192134,6/24/22,64,0.544,168
Jealous,Eyedress,122338,12/6/19,83,0.474,93.01
help herself,bbno$,188571,1/29/21,70,0.607,168.049
Notion,The Rare Occasions,195120,12/2/21,83,0.309,159.488
Remember When,Wallows,155146,3/22/19,75,0.504,82.009
Young,Vacations,189160,2016,83,0.498,79.935
Electric Love,B��RNS,218106,10/16/15,82,0.611,120.041
Can I Call You Tonight?,Dayglow,278769,11/14/19,82,0.641,129.98
Prom Queen,Beach Bunny,136562,8/10/18,82,0.528,143.785
Always Forever,Cults,223746,10/15/13,81,0.174,163.378
Money,The Drums,233655,2011,65,0.603,102.473
Pretty Face,PUBLIC,230786,3/24/15,63,0.538,143.022
When Am I Gonna Lose You,Local Natives,264213,4/26/19,64,0.452,142.088
Tek It,Cafun̩,191823,7/20/21,80,0.423,146.995
Are You Bored Yet? (feat. Clairo),Wallows,178000,3/22/19,80,0.682,120.023
Metamodernity,Vansire,162663,6/11/19,69,0.823,121.968
Looking Out for You,Joy Again,179499,1/15/16,79,0.682,100.721
Tongue Tied,Grouplove,218013,9/2/11,79,0.56,112.96
Cigarette Daydreams,Cage The Elephant,208760,10/8/13,79,0.636,113.98
The Adults Are Talking,The Strokes,309053,4/10/20,79,0.593,164.959
Walking On A Dream,Empire of the Sun,198440,10/3/08,79,0.871,126.975
Where Is My Mind? - Remastered,Pixies,234973,3/21/88,79,0.519,81.334
Tightrope,bennytheghost,140954,4/20/22,53,0.676,140.963
Show Me How,Men I Trust,215110,2/28/18,78,0.791,165.99
i wanna be your girlfriend,girl in red,204990,3/2/18,78,0.54,155.882
Poor Grammar,Roar,156906,2/28/12,58,0.469,171.905
Kilby Girl,The Backseat Lovers,282205,1/27/19,78,0.329,162.279
Homage,Mild High Club,177493,8/26/16,78,0.546,73.369
Sunflower,Rex Orange County,252230,3/22/17,78,0.384,129.903
Hell N Back,Bakar,213573,8/15/19,78,0.584,210.164
Where'd All the Time Go?,Dr. Dog,234800,11/2/10,77,0.454,166.303
